Restaurant,Elderly_Score,Elderly_Notes,Disabled_Score,Disabled_Notes,Infant_Score,Infant_Notes,Price_Satisfaction_Score,Price_Satisfaction_Notes,Parking_Issue,Parking_Notes,Keywords
거구장갈비집,3,내부 평탄도 양호하여 큰 불편 없음,2,휠체어 진입로·경사로 부족,3,유모차 진입 시 턱·계단 주의,5,높은 가격에도 불구하고 매우 만족,No,인근 공영주차장 또는 유료 주차장 이용 필요,소고기;갈비;부드러움;가족모임;통영여행
고성곱창,2,"리뷰에 접근성 언급이 없으며, 곱창전골의 뜨겁고 기름진 음식 특성상 고령층이 씹고 소화하기 부적합할 수 있습니다.",1,휠체어 경사로·접근로가 마련되어 있지 않아 접근이 어렵습니다.,3,"가족 단위 방문 후기 다수가 있으나, 유모차 진입로 및 아동 의자 제공 여부는 확인되지 않습니다.",4,"'저렴하게 먹을 수 있다', '가성비 좋다'는 긍정 평이 많으나, 일부 '가격이 높다'는 언급이 있습니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요합니다.,곱창전골;대창전골;밥볶아먹기;맛집;가성비
곤리도횟집,3,"리뷰에 접근성 언급은 없으나, 내부 평탄도 양호할 것으로 추정됩니다.",1,휠체어 경사로·접근로 마련 여부가 확인되지 않아 진입이 어려울 가능성이 있습니다.,3,유모차 진입로·아동 의자 제공 여부에 대한 언급이 없습니다.,3,리뷰에 가격대 언급이 없어 평균 별점(3.45)을 기준으로 보통 수준으로 평가했습니다.,No,"리뷰 내 주차 언급이 없으며, 별도 안내도 없어 인근 공영주차장 또는 유료 주차장 이용이 필요합니다.",물회;굴;매운탕;회덮밥;밑반찬
남옥식당,3,리뷰에 접근성 언급이 없어 내부 평탄도 양호할 것으로 추정됩니다.,1,휠체어 경사로·접근로 마련 여부가 확인되지 않아 진입이 어려울 가능성이 있습니다.,3,"유아 관련 언급이 없으나, 가족 단위 방문 후기도 있어 최소한의 방문 환경은 갖춰져 있을 것으로 추정됩니다.",4,"리뷰에 가격 언급이 없으나, 평균 별점이 약 3.95로 긍정적인 평가가 많습니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,복국;멍게비빔밥;전어회;깔끔;해장
늘푸른횟집,3,리뷰에 접근성 언급이 없어 내부 평탄도 양호할 것으로 추정됩니다.,1,휠체어 경사로·접근로 마련 여부가 언급되지 않아 진입이 어려울 수 있습니다.,3,유모차 진입로·아동 의자 제공 여부 언급이 없어 영유아 동반 시 편의시설이 부족할 수 있습니다.,4,"대체로 음식 맛에 대한 만족도가 높아 가성비가 좋은 편으로 평가되나, 일부 '가격이 비싸다'는 언급이 있습니다.",No,"리뷰 내 주차 언급이 없어, 별도 안내도 없으며 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.",고등어회;고등어조림;싱싱함;맛집;욕지도
대가한우촌,3,리뷰에 접근성 언급이 없어 내부 평탄도 양호할 것으로 추정됩니다.,1,휠체어 경사로·접근로 마련 여부가 확인되지 않아 진입이 어려울 가능성이 있습니다.,3,놀이방 제공은 긍정적이지만 유아 의자 제공이 없어 불편할 수 있습니다.,3,"'저렴하다', '가성비 좋다'는 긍정 언급과 '가격이 비싸다'는 부정 언급이 혼재합니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,한우;고기;맛집;가성비;놀이방
미주뚝배기,3,리뷰에 접근성 언급이 없어 내부 평탄도 양호할 것으로 추정됩니다.,1,휠체어 경사로·접근로 마련 여부가 확인되지 않아 진입이 어려울 가능성이 있습니다.,3,유모차 진입로·아동 의자 제공 여부 언급이 없어 영유아 동반 시 편의시설이 부족할 수 있습니다.,4,"'가성비 좋다', '푸짐하다' 등의 긍정 평이 많습니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,뚝배기;된장찌개;해장;푸짐함;손맛
보성갈비,3,"리뷰에 접근성 언급이 없으나, 내부 평탄도 양호할 것으로 추정됩니다.",1,휠체어 경사로·접근로 마련 여부가 확인되지 않아 진입이 어려울 수 있습니다.,3,가족과 방문 후기 다수가 있어 최소한의 가족 단위 방문 환경은 갖춰져 있을 것으로 추정됩니다.,4,"점심특선이 저렴하고 맛있다는 긍정 평이 다수이며, 좋은 가격에 푸짐하게 제공된다는 언급이 있습니다.",No,‘주차하긴 좋은데요’라는 언급이 있어 주차 편의성이 양호합니다.,갈비양념;삼겹살;갈비탕;냉면;점심특선
수향초밥,3,리뷰에 접근성 언급이 없어 내부 평탄도 양호할 것으로 추정됩니다.,1,휠체어 경사로·접근로 관련 언급이 없어 진입이 어려울 가능성이 있습니다.,3,"가족 단위 방문 후기가 있으나, 유모차 진입로나 아동 의자 제공에 대한 언급은 없습니다.",4,"'신선하고 맛있다', '가성비 좋다'는 긍정 평가가 다수 확인되었습니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,초밥;신선도;가성비;회전초밥;분위기
은혜한우숯불갈비,3,리뷰에 접근성 언급이 없어 내부 평탄도 양호할 것으로 추정됩니다.,1,휠체어 경사로·접근로 마련 여부가 확인되지 않아 진입이 어려울 수 있습니다.,3,"가족 단위 방문 후기가 있으나, 유모차 진입로나 아동 의자 제공에 대한 언급은 없습니다.",4,"'한우 육즙이 살아있다', '가성비 좋다'는 긍정 평가가 다수 확인되었습니다.",No,리뷰 내 주차 언언이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,한우;숯불갈비;육즙;가성비;가족모임
