Place,Elderly_Score,Elderly_Notes,Disabled_Score,Disabled_Notes,Infant_Score,Infant_Notes,Suggestion_rank,Parking_Issue,Parking_Notes,Keywords,
연화도 출렁다리,4,"짧고 평평한 다리 구간이어서 노인 분도 크게 무리 없이 건널 수 있으나, 흔들림이 불편할 수 있어 동반자가 있으면 좋습니다.",2,휠체어 진입 경사가 없고 다리 흔들림도 있어 이동이 매우 어렵습니다.,4,"다리가 짧고 안전 가드가 있어 아이들도 즐겁게 건널 수 있으나, 흔들림에 주의가 필요합니다.",1. 연인 2. 가족 3. 친구 4. 혼자,No,"리뷰에 주차 언급은 없으나, 인근 공영주차장에서 도보 3분 거리로 접근 가능합니다.",출렁다리;바다전망;트레킹;흔들림;경치,
윤이상 공원,4,평탄한 산책로와 곳곳의 벤치가 있어 어르신들도 무리 없이 관람 및 산책이 가능합니다.,3,"일부 경사로가 있으나 대체로 포장로가 잘 되어 있어 휠체어 이용도 가능하나, 안내 표지판이 부족합니다.",3,"공원 내 넓은 공간에서 아이들이 안전하게 뛰어놀 수 있으나, 기념관 내부는 유모차 진입이 다소 불편할 수 있습니다.",1. 가족 2. 혼자 3. 연인 4. 친구,No,"자체 주차장이 있어 이용 가능하나, 주말·공휴일에는 만차 우려가 있으므로 대중교통 이용을 권장합니다.",공원;기념관;음악가;역사;산책로,
동피랑 마을길,3,골목 내 평탄한 구간도 있으나 일부 계단과 비포장 구간이 있어 보행 보조가 필요한 어르신은 주의가 필요합니다.,2,휠체어 진입로가 없고 좁은 골목길이어서 이동이 어렵습니다.,4,"벽화가 아이들의 호기심을 자극해 산책하며 관람하기 좋으나, 좁은 길에서 안전사고 주의가 필요합니다.",1. 연인 2. 가족 3. 친구 4. 혼자,Yes,"주차 공간이 거의 없어 차량 진입이 어려우며, 인근 유료 주차장 이용 후 도보 이동을 권장합니다.",벽화;골목길;전망;역사;사진스폿,
동피랑 벽화 골목,3,일부 계단과 좁은 구간이 있으나 평탄한 구간을 선택하면 무리 없이 산책 가능합니다.,2,"휠체어 접근로가 없어 이동이 어려우며, 보도 폭이 좁아 안전사고 주의가 필요합니다.",4,"다채로운 벽화가 아이들의 시각적 흥미를 유발하며, 가족 단위 탐방에 적합합니다.",1. 연인 2. 가족 3. 친구 4. 혼자,Yes,"주차 공간이 거의 없으며, 인근 유료·공영주차장 이용 후 도보 이동을 권장합니다.",벽화;골목;사진스폿;예술;지역재생,
디피랑,3,평탄한 구역이 많지만 일부 경사 구간과 계단이 있어 보행 보조가 필요한 어르신은 주의해야 합니다.,2,"휠체어 접근 경로가 제한적이고, 조명 쇼 관람 구역 진입 시 단차가 있어 진입이 어렵습니다.",4,빛을 활용한 멀티미디어 쇼가 아이들의 흥미를 끌며 안전 펜스가 있어 비교적 안전합니다.,1. 연인 2. 가족 3. 친구 4. 혼자,Yes,"주차 공간이 제한적이며, 인근 공영주차장 이용 후 도보 이동을 권장합니다.",야경;조명쇼;멀티미디어;전망;데이트,
미륵산 봉수대,2,가파른 등산로를 오르는 구간이 많아 체력과 보조가 필요한 어르신에게는 다소 어려울 수 있습니다.,1,접근로가 완전 자연 등산로로 휠체어 진입이 불가능합니다.,2,"장시간 걷기가 필요하여 유모차 사용에는 부적합하며, 아이 도보 안전에 주의해야 합니다.",1. 친구 2. 연인 3. 가족 4. 혼자,No,"리뷰에 주차 언급은 없으나, 산 입구 근처 비포장 공터에 임시 주차가 가능할 수 있습니다.",전망;등산;역사;자연;경남통영,미륵산 봉수대
박경리 기념관,4,평탄한 산책로와 전시 공간이 잘 연결되어 있어 어르신들도 편안하게 관람할 수 있습니다.,3,"일부 구간에 경사로가 있으나 전반적으로 포장로가 잘 되어 있어 휠체어 이용이 가능하나, 표지판이 부족합니다.",4,"잔디 정원과 평탄 공간이 있어 아이들이 안전하게 뛰어놀 수 있으며, 전시물도 눈높이에 잘 배치되어 있습니다.",1. 가족 2. 혼자 3. 연인 4. 친구,No,"기념관 자체 주차장은 없으나, 인근 공영주차장이 도보 2분 거리에 위치해 있어 접근성이 좋습니다.",문학;기념관;정원;유품;통영문학여행,
서피랑공원,4,평탄한 산책로와 쉼터가 잘 배치되어 있어 어르신들도 편안히 경치를 즐길 수 있습니다.,2,휠체어 전용 경사로나 경로 표지가 없어 접근이 다소 불편합니다.,4,잔디 광장과 평탄 데크가 있어 아이들이 안전하게 뛰어놀 수 있습니다.,1. 가족 2. 연인 3. 친구 4. 혼자,No,"자체 주차장이 없으며, 도보 5분 거리에 공영주차장이 있으나 편의시설이 부족합니다.",전망;산책;쉼터;통영항;도심탈출,
소매물도,3,"자연 계단 및 경사로가 있어 체력 소모는 크지만, 평탄 구간도 있어 휴식 포인트 선택 시 관람 가능합니다.",1,섬 이동 자체가 배편 및 비포장 길이 대부분이어서 휠체어 접근은 사실상 불가능합니다.,4,평탄한 전망대와 해변 산책로가 있어 아이 동반 가족 나들이에 적합합니다.,1. 가족 2. 연인 3. 친구 4. 혼자,No,자체 주차장 없음. 본섬 선착장 인근 공영주차장 활용 후 배편 이동이 필요합니다.,일출;일몰;트레킹;자연경관;해변산책,
연대도-만지도 출렁다리,4,"다리 구간이 비교적 짧고 평탄해 어르신도 큰 무리 없이 건널 수 있으나, 흔들림이 있어 안전 유의가 필요합니다.",2,휠체어 접근로가 없고 다리 흔들림도 있어 이동이 매우 어렵습니다.,4,"안전 난간과 비교적 짧은 다리 길이로 아이들도 즐겁게 건널 수 있으나, 보호자 동행이 좋습니다.",1. 연인 2. 가족 3. 친구 4. 혼자,No,"자체 주차장은 없으며, 선착장 인근 공영주차장 이용 후 도보 및 배편 이동이 필요합니다.",출렁다리;섬여행;트레킹;바다전망;안전난간,
