별점,리뷰,날짜
5,"통영시 카페 *해옥*
따뜻한 차 한잔 🍵 마시기 좋은 분위기 좋은 카페!
깔끔하고 깊은 차 맛이 좋고, 다른 디저트도 괜찮음!
다소 가격대가 높지만 수긍이 가는 이유는..🙂‍↕️",2달 전
5,"어렸을때 이건물옆에 엄마친구가 분식집을하셔서
자주지나가던 전당포 건물이었는데 엄청 고급스럽게 리모델링을 해서 우연히 친구랑 지나가다 들어가게 됐습니다 ㅎ 내부구조가 어릴때부터 너무 궁금했는데 너무 건물내부를 잘살려서 리모델링을 하셨더라구요 ㅎ
잘구경하다 갑니다 디저트도 빠짐없이 너무 맛있고 이뻤습니다 ㅎ 인스타각입니다 ㅎ 사장님서비스도 최고였습니다 ㅎ",2달 전
5,"통영 고등어를 사용하는 음식점입니다
친절하고 분위기, 인테리어가 뛰어납니다
시메사바는 두껍게 나와 식감이 좋고 고소합니다
다른 음식도 먹어보고 싶네요",2년 전
4,"음..차는 맛있었고
노키즈존입니다
계단가파르고
인테리어..좋아요",3달 전
5,매장 내부가 깨끗하고 따뜻한 분위기라서 좋았어요 사바동정식으로 시켰는데 음식 맛도 깔끔 담백! 합니다 맛있어서 설거지하고 나왔어요 반찬으로 나왔던 굴 가라아게도 진짜 맛있었어요 다음에 간다면 다른 메뉴도 시켜보고 싶네욤,2년 전
5,해옥,1년 전
5,"옛 일본 가옥을 리노베이션 한 카페에서 분위기가 좋다.
커피도 맛있다",1달 전
5,리뷰 없음,9달 전
5,리뷰 없음,1년 전
5,리뷰 없음,1년 전
5,리뷰 없음,2년 전
