관광지명,주소
호동식당,경남 통영시 새터길 49 호동식당
남옥식당,"경남 통영시 통영해안로 221 ,"
미주뚝배기,경남 통영시 통영해안로 227-2 2층
자연채한정식,경남 통영시 봉수돌샘길 122
수향초밥,경남 통영시 항남3길 29
고성곱창,경남 통영시 무전3길 11-9
거구장,경남 통영시 동충2길 22-3 거구장갈비
은혜한우숯불갈비,경남 통영시 광도면 죽림4로 23-37
한려갈비,경남 통영시 해방다리1길 11-5
향토집,경남 통영시 무전5길 37-41 향토집
늘푸른횟집,경남 통영시 욕지면 욕지일주로 95-6
토속삼계탕,경남 통영시 정동4길 65
진우숯불갈비,경남 통영시 무전5길 11-17
천지연횟집,경남 통영시 운하1길 46 대영 유토피아 2층
장어여행,경남 통영시 무전2길 34-18
궁전횟집,경남 통영시 운하1길 46 대영유토피아 상가701호
푸주옥,경남 통영시 장좌로 55
행복추풍령감자탕 통영미수점,경남 통영시 운하1길 46 대영유토피아
조마루뼈다귀(무전점),경남 통영시 무전대로 43 조마루뼈다귀 무전점
새통영횟집,경남 통영시 통영해안로 185
통제원,경남 통영시 무전8길 22-5 클라시스 상가 2층
남부숯불장어구이,경남 통영시 무전1길 64-9
대가한우촌,경남 통영시 무전4길 22-17
곤리도횟집,경남 통영시 도남로 280
해피데이뷔페,경남 통영시 광도면 죽림4로 8
한일식당,경남 통영시 무전5길 12-12
참한우정육식당(무전점),경남 통영시 무전6길 22-77 1층
항남뚝배기,경남 통영시 무전3길 32 항남뚝배기
보성갈비,경남 통영시 용남면 달포큰길 20
짱어한마리,경남 통영시 항남1길 28
조바우가마솥추어탕,경남 통영시 광도면 죽림4로 37-78
박대감,경남 통영시 광도면 죽림해안로 152
