Restaurant,Elderly_Score,Elderly_Notes,Disabled_Score,Disabled_Notes,Infant_Score,Infant_Notes,Price_Satisfaction_Score,Price_Satisfaction_Notes,Parking_Issue,Parking_Notes,Keywords
거구장갈비집,3,평탄한 내부와 가족 모임 후기 다수로 노인 방문에 큰 불편은 없을 것으로 보입니다.,2,"휠체어 경사로에 대한 언급이 없으며, 전형적 갈비집 구조로 휠체어 진입이 어려울 수 있습니다.",3,"가족 단위 방문 후기가 많으나, 유모차 진입로나 아동 의자 제공 여부는 확인되지 않습니다.",5,"‘비싑니다. 비싼데 그만큼 값을 합니다.’, ‘인생 소고기 맛집’ 등의 긍정 언급이 다수입니다.",No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,소고기;갈비;부드러움;가족모임;통영여행
거북선꿀빵,3,리뷰에 접근성 언급이 없어 내부 평탄도가 양호할 것으로 추정됩니다.,1,휠체어 경사로·접근로 언급이 없어 진입이 어려울 수 있습니다.,3,유모차 진입로 및 아동 의자 제공 언급이 없어 영유아 동반 시 불편할 수 있습니다.,4,"리뷰에 가격 언급이 없으나, 평균 별점이 약 4.4점으로 대체로 긍정적입니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,꿀빵;유자빵;디저트;통영명물;재방문
굴향토집,3,리뷰에 접근성 언급이 없어 내부 평탄도가 양호할 것으로 추정됩니다.,1,휠체어 경사로·접근로 언급이 없어 진입이 어려울 수 있습니다.,3,유모차 진입로 및 아동 의자 제공 언급이 없어 영유아 동반 시 편의시설이 부족할 수 있습니다.,4,"‘B세트이상 추천’, ‘A세트도 충분함’, ‘가성비대비 맛은 평타’ 등의 언급이 있습니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,굴정식;굴전;코스요리;B세트;가성비
남옥식당,3,리뷰에 접근성 언급이 없어 내부 평탄도가 양호할 것으로 추정됩니다.,1,휠체어 경사로·접근로 마련 여부가 확인되지 않아 진입이 어려울 수 있습니다.,3,"가족 단위 방문 후기가 있으나, 유모차 진입로나 아동 의자 제공 여부는 확인되지 않습니다.",4,"리뷰에 가격 언급은 없으나, 평균 별점이 약 3.95로 긍정적인 평가가 많습니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,복국;멍게비빔밥;전어회;깔끔;친절
대추나무,3,"리뷰에 접근성 언급이 없으나, 내부 평탄도는 비교적 양호할 것으로 추정됩니다.",1,휠체어 경사로·접근로 언급이 없어 진입이 어려울 수 있습니다.,2,유모차 진입로나 아동 의자 제공 언급이 없어 영유아 동반 시 편의시설이 부족할 수 있습니다.,4,"'인당 3만원에 푸짐하게 잘 먹었다', '가격 ★★★★★' 등의 긍정 언급이 다수입니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,예약필수;해산물;다찌;푸짐;분위기
도남식당,4,깔끔한 인테리어와 담백한 음식으로 자극적이지 않아 어르신 식사에 적합합니다.,2,"휠체어 경사로 및 접근성 언급이 없으며, 통행로 폭도 확인되지 않아 접근이 어려울 수 있습니다.",3,"가족 단위 방문 후기는 없으나, 깔끔한 실내 환경으로 영유아 동반 시에도 무난할 것으로 추정됩니다.",3,"‘음식값은 조금 비싼 편이지만 맛은 괜찮습니다’, 해물정식 가격 대비 만족도가 있는 편입니다.",No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,굴국밥;멸치회덮밥;해물정식;깔끔;담백
동광식당,4,"리뷰에 접근성 언급은 없으나, 내부 평탄도가 양호하고 담백한 복국과 회덮밥으로 노인 식사에 적합합니다.",1,휠체어 경사로·접근로 언급이 없어 휠체어 진입이 어려울 가능성이 높습니다.,3,"유모차 진입로 및 아동 의자 제공 언급이 없어 영유아 동반 시 편의시설이 부족할 수 있으나, 회덮밥 등 부드러운 음식으로 무난할 것으로 추정됩니다.",4,"리뷰에 가격 언급은 없으나, 평점이 대체로 높아 가격 대비 만족도가 높은 편으로 보입니다.",No,리뷰 내 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,복국;회덮밥;멍게비빔밥;통영맛집;담백
뚱보할매김밥집,4,충무김밥의 부드러운 식감과 실내 평탄도로 어르신이 이용하기에 무난합니다.,1,휠체어 경사로·접근로가 없어 골목상점 구조상 휠체어 진입이 어렵습니다.,3,"유모차 진입로 및 아동 의자 제공 언급은 없으나, 간단한 김밥으로 영유아 동반 시에도 큰 무리가 없습니다.",4,"‘1인분에 6000원’, ‘가성비갑’ 등 가격이 저렴하다는 긍정평이 많습니다.",No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용을 권장합니다.,충무김밥;가성비;서비스;현지추천;골목맛집
만성복집,4,"담백하고 자극적이지 않은 복국으로 어르신이 드시기에 적합하며, 로컬과 관광객 모두 찾는 인기 식당입니다.",1,"휠체어 경사로·접근로 관련 언급이 없으며, 시장 인근 좁은 골목 구조로 휠체어 진입이 어려울 수 있습니다.",3,"유모차 진입이나 아동 의자 제공 언급은 없으나, 부담 없는 국물 음식으로 영유아 동반에도 무난할 것으로 보입니다.",4,"'수요미식회 나온 곳', '로컬과 관광객 모두 많다'는 인기와 '시원하고 맛있다'는 평가로 가격 대비 만족도가 높습니다.",No,리뷰에 주차 언급이 없어 인근 공영주차장 또는 유료 주차장 이용이 필요할 수 있습니다.,복국;수요미식회;로컬맛집;해장;담백
멍게가,3,"리뷰에 접근성 언급이 없으나, 내부 평탄도는 양호할 것으로 추정됩니다.",1,휠체어 경사로·접근로 언급이 없어 진입이 어려울 수 있습니다.,3,유모차 진입로나 아동 의자 제공 언급이 없어 영유아 동반 시 편의시설이 부족할 수 있습니다.,4,"‘비싼 한정 메뉴’ 언급이 있으나, 대다수 '맛있다', '대접받는 기분'이라는 긍정 평가가 다수입니다.",Yes,'입구 앞 주차가 불편하다'는 언급이 있어 주차 편의성이 낮습니다.,멍게비빔밥;미역국;유기그릇;깔끔;멍게향
