id,travel_list_id,title,detail_text,info_text,reply_text,address,created_at,latitude,longitude
1,1,"물봉선공원(어린이)> 여행지 :대한민국 구석구석","어린이 물놀이 공원으로 여름철에 운영된다. 시설마다 안전요원 2명이 배치되며, 물놀이 시설은 수돗물을 사용하며 매일 새로운 물로 교체한다. 운영시간동안 지속적인 염소소독 및 주 1회 수질 검사를 시행하고 있다. 40분씩 가동이 되고 20분간의 휴식시간이 주어지며 가동시간은 기상여건에 따라 조정될 수도 있다.","문의 및 안내 031-278-1128
주소 경기도 수원시 영통구 이의동 1311-2 (이의동)
이용시간 11:00~17:00
휴일 매주월요일/우천시 휴장
주차 불가능
입장료 무료","등록된 댓글이 없습니다.
","경기도 수원시 영통구 이의동 1311-2 (이의동)","2025-03-18 16:23:43",37.294104,127.053858
2,2,"에움녹색길> 여행지 :대한민국 구석구석","서면 개야리에 위치한 에움녹색길은 50년 이상된 나무가 우거진 밤나무길, 미루나무길, 강물소리길, 갈대숲길, 숲 속길 종자산길 등 다양한 볼거리가 있는 곳으로 지역문화의 자연자원을 스토리텔링과 접목한 친환경 녹색길이다. 개야리 마을의 강변과 마을 속 산을 가로질러 걸을 수 있는 길로 개암나무, 야생화, 싸리나무, 정미소, 가죽나무 등 다양한 볼거리가 있는 곳으로 트레킹뿐만 아니라 건강 휴양의 공간이 되기도 한다. 계절별로 자연의 경관을 느낄 수 있고, 총 6.5㎞구간에 여행자센터 이정표 해설판이 있으며 쉼터 등 편의시설을 잘 갖춰놓은 트레킹 길이다.

(출처 : 강원특별자치도청)
내용 더보기","문의 및 안내 033-432-7801
홈페이지 https://www.hongcheon.go.kr/tour
주소 강원특별자치도 홍천군 서면 개야마을길 73
이용시간 상시 개방
휴일 연중무휴
주차 불가능
이용요금 무료","등록된 댓글이 없습니다.
","강원특별자치도 홍천군 서면 개야마을길 73","2025-03-18 16:23:45",37.694093,127.629682
3,3,"금강제화 명동본점> 여행지 :대한민국 구석구석","금강제화는 제화뿐 아니라 스포츠화, 캐주얼슈즈 및 패션, 액세서리 등을 생산하는 패션 브랜드로 전국에 많은 대리점을 보유하고 있다. 그중 금강제화 명동본점은 명동거리 중심가에 자리 잡고 있어 외국 관광객들이 많이 방문하는 매장이다. 이 매장의 경우 Regal(리갈) 브랜드의 남성 정장화, 여성 정장화, 핸드백, 지갑, 액세서리 등이 인기가 많다. 또한 신발 사이즈가 너무 크거나 작아 제품 구매에 애로사항이 있는 고객들을 위해 빅 앤 스몰 매장이 구비되어 있으며 고객의 별도 주문 제작도 가능하다.
내용 닫기","문의 및 안내 02-753-9411
홈페이지 공식 홈페이지 http://www.kumkang.com
공식 인스타그램 https://www.instagram.com/kumkang_official
주소 서울특별시 중구 명동8길 30 (명동2가)
이용시간 - 월요일~목요일 10:30~20:00
- 금요일~일요일 10:30~20:30
휴일 연중무휴
주차 불가능
판매 품목 신발 / 가방 / 지갑 / 벨트 등","등록된 댓글이 없습니다.
","서울특별시 중구 명동8길 30 (명동2가)","2025-03-18 16:23:47",37.562405,126.984657
4,4,"숭의가든> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석","숭의가든은 인천광역시 미추홀구 숭의동에 위치한 곳으로 양념 돼지갈비와 소 생갈비 참숯구이가 유명한 한식당이다. 그 외에 불고기 솥밥 런치 정식, 돼지갈비 솥밥 런치 정식 등 공휴일과 일요일을 제외한 점심시간에 즐길 수 있는 한정식 메뉴들도 있다. 외부에 소나무와 갖가지 돌들로 장식이 되어 자연스러운 정원의 느낌을 풍긴다. 내부는 넓은 편으로 아늑한 분위기를 풍기며 좌석이 여유롭게 배치되어 있다.","문의 및 안내 032-887-5555
주소 인천광역시 미추홀구 경인로88번길 10
영업시간 - 11:00~21:00
- 준비 시간 15:00~17:00
- 마지막 주문 20:30
※ 주말은 준비 시간 없음
휴일 연중무휴
주차 가능
요금 (무료)
대표메뉴 돼지왕갈비
취급메뉴 소생갈비 / 불고기솥밥런치정식 등
출입통로 주출입구는 경사로가 있어 휠체어 접근 가능함
접근로 출입구까지 경사로가 설치되어 있음
지체장애 기타 상세 입식(의자식)테이블 있음
더보기","등록된 댓글이 없습니다.
","인천광역시 미추홀구 경인로88번길 10","2025-03-18 16:25:35",37.465618,126.65259
5,5,"영덕장 (4, 9일)> 여행지 :대한민국 구석구석","영덕군은 모두 다섯 개의 재래장이 형성되고 있으며, 영덕장과 영해장이 비교적 재래시장으로서의 기능을 갖추고 있다. 영덕장의 특산물은 복숭아라고 할 수 있다. 사월이 되면 오십천을 따라 피어나는 복사꽃의 향기는 표현할 수 없을 만큼 아름다워 400㏊에 이르는 복숭아 농원은 가히 무릉도원이라 일컬을 만하다. 영덕시장은 매일 다양한 상품으로 손님을 모시며 특히 매월 4일과 9일, 14일과 19일, 24일과 29일에는 행상인들이 구름처럼 모여오시어 그야말로 기존 상인들과 같이 사람과 사람이 모여서 이루어지는 전통시장이다. 상가 이층이 전부 주차장으로 되어 있어 장보기에 아주 편리하다.
내용 닫기","문의 및 안내 054-734-0082
홈페이지 https://ydmall.cyso.co.kr/
주소 경상북도 영덕군 영덕읍 남석길 23-48
이용시간 점포별 상이함
휴일 점포별 상이함
주차 가능
규모 매장면적 2.948㎡
점 포 수 125개
판매 품목 농수산물 / 잡화 등","등록된 댓글이 없습니다.
","경상북도 영덕군 영덕읍 남석길 23-48","2025-03-18 16:25:39",36.406724,129.369701
6,6,"국립경국대학교 박물관> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석","국립경국대학교 박물관은 1979년 3월, 안동대학교 개교와 더불어 개관하였다. 단순히 대학박물관을 넘어 경상북도 북부 지역의 유일한 종합박물관의 역할을 충실히 하고 있다. 수장 유물은 역사·고고·미술·민속자료 등 전통문화의 전 분야를 망라하고 있으며 안동 지역의 역사를 체계적으로 이해할 수 있도록 전시하여 학생과 교수의 교육·연구에 도움을 주는 한편 지역민들의 전통문화에 대한 인식을 고취하는 데 일익을 담당하고 있다. 선사시대부터 근현대에 이르기까지 5천여 점의 유물을 소장하고 있으며 주요한 것으로 안동 석사자(경상북도 문화재자료), 임하사 전탑지 사리구, ‘원이엄마 편지’로 널리 알려진 이응태 묘 출토유물 등을 들 수 있다.

(출처 : 국립경국대학교 박물관 홈페이지)
내용 닫기","문의 및 안내 054-820-7422
홈페이지 https://anumuseum.modoo.at/
주소 경상북도 안동시 경동로 1375 (송천동)
이용시간 10:00~16:00
휴일 매주 토요일 / 일요일 / 공휴일 / 개교기념일(3월 12일)
주차 가능
주차 요금 무료
이용요금 무료
규모 연건축면적 495㎡ / 전시실 330㎡
접근로 박물관 건물은 경사로가 설치되어 있음, 역동서원 무단차 접근(실내접근 어려움)
출입통로 주출입구는 경사로가 있어 휠체어 접근 가능함
장애인 주차 안내 장애인 주차장 있음(3대,박물관 앞 학교주차장)_무장애 편의시설
엘리베이터 장애인 엘리베이터 있음
화장실 장애인 화장실 있음(대학건물 화장실)
보조견 동반 동반가능
닫기","
교내 박물관이어서 크게 기대 안 했는데 볼 것도 많고 흥미로웠습니다
민* 2025. 1. 11.
00
신고하기","경상북도 안동시 경동로 1375 (송천동)","2025-03-18 16:25:43",36.539673,128.793848
7,7,"풍전식당> 여행지 :대한민국 구석구석","풍전식당은 주안동에 있는 육개장 전문 음식점이다. 메뉴에는 육개장, 갈비탕, 해장국, 등심, 양념갈비, 차돌박이 불고기, 목삼겹, 갈매기살, 돼지갈비 등을 메뉴로 하고 있다. 메뉴 주문 시 배추김치와 깍두기는 기본반찬으로 준비되고 그 외에 밑반찬들은 상황에 따라 매일 달라진다. 대표메뉴인 육개장은 매콤한 향을 풍기고 새빨간 국물의 비주얼이지만 크게 맵지 않다. 육개장 안에는 당면과 소고기, 고사리, 숙주나물, 버섯, 양파 등의 재료가 푸짐하게 있다. 매장 주차장은 식당 바로 앞에 있어 주차하기 편리하며 단체석이 존재하여 각종 모임이나 회식장소로도 안성맞춤이다.
내용 닫기","문의 및 안내 032-866-8710
주소 인천광역시 미추홀구 남주길 5
영업시간 06:00~22:00 (마지막 주문 21:30)
휴일 매주 화요일
주차 가능
요금 (무료)
대표메뉴 육개장
취급메뉴 갈비탕 / 육개장 / 해장국 / 등심 등","등록된 댓글이 없습니다.
","인천광역시 미추홀구 남주길 5","2025-03-18 16:25:46",37.454437,126.669751
8,8,"신라면세점 서울점> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석","신라면세점 서울점은 한국을 대표하는 신라호텔 옆에 위치해 있어 휴식과 식음, 면세 쇼핑 모두를 만족시킬 수 있는 시설을 갖추고 있다. 플래그십스토어에 걸맞은 LOUIS VUITTON, HERMES, CHANEL, Dior 등 최고 명품 브랜드부터 뷰티, 주얼리, 식품까지 다양한 브랜드가 입점해 있다. 면세점 단독 건물로 도심 속에서도 쾌적하고 여유롭게 쇼핑할 수 있으며, 지하 1층 트렌드온에서는 온라인 상품을 직접 경험해 보고 구매하는 편리함까지 제공한다.
내용 닫기","문의 및 안내 1688-1110
홈페이지 https://www.shilladfs.com
주소 서울특별시 중구 동호로 249 (장충동2가)
이용시간 09:30~20:00
휴일 연중무휴
주차 가능
판매 품목 명품 브랜드 / 뷰티 / 주얼리 / 식품 등
접근로 출입구까지 단차가 없어 휠체어 접근 가능함
장애인 주차 안내 장애인 전용 주차구역 있음(5대,신라호텔 에메랄드)_무장애 편의시설
화장실 장애인 전용 화장실 있음(1층(남자화장실),2층(여자화장실))
유모차 대여가능(1층 안내데스크)
닫기","
면세 쇼핑할때 항상 가는 곳입니다. 신라면세점 서울점 너무 좋아요!!!
하*비 2024. 10. 6.
00
신고하기","서울특별시 중구 동호로 249 (장충동2가)","2025-03-18 16:25:51",37.558831,127.006092
9,9,"주왕산 관광단지> 여행지 :대한민국 구석구석","주왕산 관광단지 (민예촌, 백자박물관, 수석꽃돌박물관)는 주왕산 상의 탐방로 약 4㎞ 전방에 위치한 주왕산 관광단지로서, 한옥숙박체험 시설인 민예촌과 자연의 미가 살아 있는 수석과 희귀한 청송꽃돌을 전시한 수석꽃돌박물관, 청송백자를 전시, 체험, 판매하는 백자전시관과 백자 공방, 청송백자가 일본에 계승되어 발전된 화려한 심수관 도예전시관이 있다. 주왕산으로 가는 길에 여유있게 둘러보기를 추천한다.","문의 및 안내 054-874-0101
주소 경상북도 청송군 주왕산면 주왕산로 494
휴일 매주 월요일
주차 가능
입장료 무료","
댓글 더보기","경상북도 청송군 주왕산면 주왕산로 494","2025-03-18 16:25:57",36.378347,129.109063
10,10,"장흥군 특산품전시판매장> 여행지 :대한민국 구석구석","장흥군 특산품전시판매장은 남도드림생산자협동조합에서 운영하는 토요시장 내에 위치한 장흥 특산물 판매장이다. 남도드림생산자협동조합은 장흥군 특산품 판매장 매장뿐 아니라 장흥군 온라인 쇼핑몰 ‘장흥몰’을 운영하며 조합원들의 소득 증대와 장흥 특산품 홍보에 기여하고 있다. 판매장에서는 주로 한우, 표고버섯 등의 품질 좋은 장흥 특산물을 합리적인 가격에 판매하고 있다.","문의 및 안내 061-864-0743
홈페이지 https://www.instagram.com/namdodream
주소 전라남도 장흥군 장흥읍 토요시장2길 3-3
이용시간 09:00~18:00
휴일 매주 일요일
주차 불가능
판매 품목 쌀 / 김 / 표고버섯 / 한우 / 된장 및 고추장 등","등록된 댓글이 없습니다.
","전라남도 장흥군 장흥읍 토요시장2길 3-3","2025-03-18 16:25:58",34.675008,126.90284
